location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,MI,Michigan,23,2019,24.3,Billion,24300000000,1.8,Billion,1800000000,"202,300",202300,7,,,,,,,,
state,MN,Minnesota,24,2024,14.7,Billion,14700000000,1.6,Billion,1600000000,"112,800",112800,10,,,,,,,,
state,MN,Minnesota,24,2023,14.1,Billion,14100000000,1.5,Billion,1500000000,"109,300",109300,10,,,,,,,,
state,MN,Minnesota,24,2022,13.1,Billion,13100000000,1.5,Billion,1500000000,"103,600",103600,10,,,,,,,,
state,MN,Minnesota,24,2021,11,Billion,11000000000,1.3,Billion,1300000000,"91,100",91100,10,,,,,,,,
state,MN,Minnesota,24,2020,8.5,Billion,8500000000,1.1,Billion,1100000000,"79,500",79500,12,,,,,,,,
state,MN,Minnesota,24,2019,13.1,Billion,13100000000,1.6,Billion,1600000000,"143,600",143600,7,,,,,,,,
state,MO,Missouri,26,2024,17.2,Billion,17200000000,958,Million,958000000,"111,800",111800,10,,,,,,,,
state,MO,Missouri,26,2023,16.6,Billion,16600000000,931,Million,931000000,"111,300",111300,10,,,,,,,,
state,MO,Missouri,26,2022,15.3,Billion,15300000000,879,Million,879000000,"106,200",106200,11,,,,,,,,
state,MO,Missouri,26,2021,11.2,Billion,11200000000,721,Million,721000000,"93,500",93500,11,,,,,,,,
state,MO,Missouri,26,2020,10.1,Billion,10100000000,638,Million,638000000,"77,700",77700,11,,,,,,,,
state,MO,Missouri,26,2019,17.2,Billion,17200000000,1,Billion,1000000000,"135,400",135400,7,,,,,,,,
state,MS,Mississippi,25,2024,7.4,Billion,7400000000,486,Million,486000000,"73,900",73900,5,,,,,,,,
state,MS,Mississippi,25,2023,7.2,Billion,7200000000,482,Million,482000000,"72,700",72700,5,,,,,,,,
state,MS,Mississippi,25,2022,6.8,Billion,6800000000,465,Million,465000000,"71,300",71300,5,,,,,,,,
state,MS,Mississippi,25,2021,5.8,Billion,5800000000,408,Million,408000000,"66,200",66200,6,,,,,,,,
state,MS,Mississippi,25,2020,4.4,Billion,4400000000,325,Million,325000000,"58,700",58700,6,,,,,,,,
state,MS,Mississippi,25,2019,5.6,Billion,5600000000,429,Million,429000000,"83,300",83300,5,,,,,,,,
state,MT,Montana,27,2024,6.4,Billion,6400000000,180,Million,180000000,"30,700",30700,5,,,,,,,,
state,MT,Montana,27,2023,6.2,Billion,6200000000,179,Million,179000000,"30,500",30500,5,,,,,,,,
state,MT,Montana,27,2022,5.8,Billion,5800000000,170,Million,170000000,"29,200",29200,5,,,,,,,,
state,MT,Montana,27,2021,5.1,Billion,5100000000,154,Million,154000000,"27,700",27700,5,,,,,,,,
state,MT,Montana,27,2020,3.9,Billion,3900000000,133,Million,133000000,"22,500",22500,6,,,,,,,,
